id,name,category,subtype,rarity,level,image_url,wiki_url,obtain,dmg_clean,dmg_max,def_clean,def_max,upgradeable,crit,health_regen,stamina_regen,price_clean_oml,price_max_oml,price_source,price_category,last_updated,updated_at
11,Advent Crusher,Greatsword,Limited Hammer <small>()</small,Legendary,175,https://swordburst2.fandom.com/Special:Redirect/file/Advent_Crusher.png,https://swordburst2.fandom.com/wiki/Advent_Crusher,Jolrock the Snow Protecter,2879,5758,,,TRUE,18%,+18%,,50-60,20-25,clean_legendaries,Winter Event (2022),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
12,Accel Alpha,Rapier,,Common,110,https://swordburst2.fandom.com/Special:Redirect/file/Accel_Alpha.png,https://swordburst2.fandom.com/wiki/Accel_Alpha,Sentry,1368,1915,,,TRUE,11%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
13,Akuma Dōji,Scythe,Limited SOTE,Legendary,250,https://swordburst2.fandom.com/Special:Redirect/file/Akuma_Dōji.png,https://swordburst2.fandom.com/wiki/Akuma_Dōji,Helmfirth Exclusive Shop,5800,11600,,,TRUE,18%,+20%,+20%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
14,Akuma Fuyu,Scythe,Limited,Rare,80,https://swordburst2.fandom.com/Special:Redirect/file/Akuma_Fuyu.png,https://swordburst2.fandom.com/wiki/Akuma_Fuyu,Dark Frost Goblin,1450,,,,TRUE,18%,+1%,+8%,1,,misc,Winter Event,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
15,Almace,Katana,,Uncommon,92,https://swordburst2.fandom.com/Special:Redirect/file/Almace.png,https://swordburst2.fandom.com/wiki/Almace,Winged Minion,1036,1450,,,TRUE,15%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
16,Akuma no Itami,Longsword,Limited,Tribute,1,https://swordburst2.fandom.com/Special:Redirect/file/Akuma_No_Itami.png,https://swordburst2.fandom.com/wiki/Akuma_no_Itami,Obtained through joining the game.,<br>+5 per level,,,,FALSE,20%,+15%,+15%,5,,tributes,Miscellaneous,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
17,Aetherius,Rapier,Limited,Legendary,100,https://swordburst2.fandom.com/Special:Redirect/file/Aetherius.png,https://swordburst2.fandom.com/wiki/Aetherius,Krampus,2602,,,,TRUE,11%,50%,50%,0.5,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
18,Akuma's Nightmare,Rapier,Fate/unlimited codes (Limited,Legendary,175,https://swordburst2.fandom.com/Special:Redirect/file/Akuma's_Nightmare.png,https://swordburst2.fandom.com/wiki/Akuma's_Nightmare,*Helmfirth Exclusive Shop,2955,5910,,,TRUE,10%,10%,10%,1-2,1,clean_legendaries,Fourth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
19,Alaric,Katana,,Rare,185,https://swordburst2.fandom.com/Special:Redirect/file/Alaric.png,https://swordburst2.fandom.com/wiki/Alaric,"*DJ Reaper *Wa, the Curious",3194,5110,,,TRUE,15%,,+5%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
20,Ame no Habakiri,Katana,,Burst,300,https://swordburst2.fandom.com/Special:Redirect/file/Ame_no_Habakiri.png,https://swordburst2.fandom.com/wiki/Ame_no_Habakiri,Crystal Forge,9958,24895,,,TRUE,15%,50%,30%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
21,Amethyst Demon Blade,Katana,Limited SS,Tribute,420,https://swordburst2.fandom.com/Special:Redirect/file/Amethyst_Demon_Blade.png,https://swordburst2.fandom.com/wiki/Amethyst_Demon_Blade,Helmfirth Exclusive Shop,35000,70000,,,TRUE,40%,+60%,+60%,10,10,tributes,Tenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
22,Amethyst Greatsword,Greatsword,,Uncommon,59,https://swordburst2.fandom.com/Special:Redirect/file/Amethyst_Greatsword.png,https://swordburst2.fandom.com/wiki/Amethyst_Greatsword,Shroom Back Clam,584,817,,,TRUE,18%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
23,Amethyst Prismblade,Spear,,Legendary,70,https://swordburst2.fandom.com/Special:Redirect/file/Amethyst_Prismblade.png,https://swordburst2.fandom.com/wiki/Amethyst_Prismblade,Hippogriff,775,1550,,,TRUE,21%,+3%,+3%,1,0.5,clean_legendaries,Floor 8,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
24,Ancestor Blades,Longsword,FL Limited,Common,5,https://swordburst2.fandom.com/Special:Redirect/file/Ancestor_Blades_Icon.png,https://swordburst2.fandom.com/wiki/Ancestor_Blades,*Guardian's Vessel *Eternal Domain Dungeon,+3 per level,,,,FALSE,5%,+2%,+2%,3m - 5m vels,0.5 - 1,misc,Easter Event,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
25,Ancient Godpiercer,Greatsword,Limited FL Limited <small>(Battle Axe / )</small,Tribute,450,https://swordburst2.fandom.com/Special:Redirect/file/Ancient_Godpiercer.png,https://swordburst2.fandom.com/wiki/Ancient_Godpiercer,Eternal Domain Dungeon,100000,,,,TRUE,40%,+50%,+50%,,2k+,tributes,Egg Realm (2026),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
26,Ancient Lapis Eclipse,Greatsword,,Rare,65,https://swordburst2.fandom.com/Special:Redirect/file/Ancient_Lapis_Eclipse.png,https://swordburst2.fandom.com/wiki/Ancient_Lapis_Eclipse,Frogazoid,652,1043,,,TRUE,18%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
27,Amber Sting,Rapier,,Rare,10,https://swordburst2.fandom.com/Special:Redirect/file/Amber_Sting.png,https://swordburst2.fandom.com/wiki/Amber_Sting,Gorilla Berserker,Level Based +5 per level,,,,FALSE,10%,+9%,+9%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
28,Ancient Rapier,Rapier,SBO (Limited,Legendary,150,https://swordburst2.fandom.com/Special:Redirect/file/Ancient_Rapier.png,https://swordburst2.fandom.com/wiki/Ancient_Rapier,Helmfirth Exclusive Shop,2250,4500,,,TRUE,15%,10%,10%,6-7,4,clean_legendaries,Fifth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
29,Ancient Storm,Rapier,,Burst,300,https://swordburst2.fandom.com/Special:Redirect/file/Ancient_Storm(updated).png,https://swordburst2.fandom.com/wiki/Ancient_Storm,Crystal Forge,9958,24895,,,TRUE,11%,,80%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
30,Ancient Spear,Spear,,Common,20,https://swordburst2.fandom.com/Special:Redirect/file/Ancient_Spear_In-game_Icon.png,https://swordburst2.fandom.com/wiki/Ancient_Spear,Intermediate Shop,70,98,,,TRUE,21%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
31,Angel's Grace,Longsword,Angel's Grace 1 in a million,Tribute,1,https://swordburst2.fandom.com/Special:Redirect/file/Angel's_Grace.png,https://swordburst2.fandom.com/wiki/Angel's_Grace,Any Mobs,145000,,,,TRUE,80%,+60%,+70%,Untradeable,,tributes,Untradeable The Final Gift Untradeable Gift of Contribution,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
32,Anduril,Longsword,,Uncommon,38,https://swordburst2.fandom.com/Special:Redirect/file/Anduril.png,https://swordburst2.fandom.com/wiki/Anduril,Wattlechin Crocodile,260,364,,,TRUE,12%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
33,Andalusite Blade,Katana,,Uncommon,62,https://swordburst2.fandom.com/Special:Redirect/file/Andalusite_Blade.png,https://swordburst2.fandom.com/wiki/Andalusite_Blade,Frogazoid,617,864,,,TRUE,15%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
34,Angelic Rebellion,Longsword,1H,Tribute,280,https://swordburst2.fandom.com/Special:Redirect/file/Angelic_Rebellion.png,https://swordburst2.fandom.com/wiki/Angelic_Rebellion,"Saurus, the All-Seeing",10800,,,,TRUE,36%,,,?,?,tributes,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
35,Angel's Tears,Rapier,,Rare,96,https://swordburst2.fandom.com/Special:Redirect/file/Angel's_Tears.png,https://swordburst2.fandom.com/wiki/Angel's_Tears,Shady Villager,1188,1900,,,TRUE,11%,+1%,+1%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
36,Aoi-tachi,Katana,,Legendary,285,https://swordburst2.fandom.com/Special:Redirect/file/Aoi-tachi.png,https://swordburst2.fandom.com/wiki/Aoi-tachi,Warlord,9763,19526,,,TRUE,15%,+11%,+11%,1,1,clean_legendaries,Floor 12,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
37,Apotheosis,Accessory,Shield,Burst,300,https://swordburst2.fandom.com/Special:Redirect/file/Apotheosis.png,https://swordburst2.fandom.com/wiki/Apotheosis,Crystal Forge,,,34670,,TRUE,,+40%,+40%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
38,Aphrodite's Sting,Rapier,Limited,Rare,100,https://swordburst2.fandom.com/Special:Redirect/file/Aphrodite's_Sting.png,https://swordburst2.fandom.com/wiki/Aphrodite's_Sting,Broken Bearus,Level Based +14 per level,,,,FALSE,10%,+8%,+8%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
39,Aquaburst,Longsword,SBO (Limited,Rare,150,https://swordburst2.fandom.com/Special:Redirect/file/Aquaburst.png,https://swordburst2.fandom.com/wiki/Aquaburst,Helmfirth Exclusive Shop,1685,2696,,,TRUE,8%,+5%,+5%,1-2,1,misc,Fifth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
40,Aqualis Guardian,Armor,,Legendary,435,https://swordburst2.fandom.com/Special:Redirect/file/Aqualis_Guardian.png,https://swordburst2.fandom.com/wiki/Aqualis_Guardian,Leviathan,,,482000,674800,TRUE,,+35%,+35%,2,2-3,clean_legendaries,- Rotational Floors -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
41,Aquatic Burst,Rapier,,Uncommon,390,https://swordburst2.fandom.com/Special:Redirect/file/Aquatic_Burst.png,https://swordburst2.fandom.com/wiki/Aquatic_Burst,Cobalt Darkray,29812,41737,,,TRUE,11%,15%,15%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
42,Arctic Ignition,Greatsword,Limited <small>(Axe)</small,Legendary,290,https://swordburst2.fandom.com/Special:Redirect/file/Arctic_Ignition.png,https://swordburst2.fandom.com/wiki/Arctic_Ignition,"Vyroth, The Frostflame",22750,,,,TRUE,18%,10%,10%,1-2,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
43,Ars Seraph Shield,Accessory,Shield,Legendary,200,https://swordburst2.fandom.com/Special:Redirect/file/Ars_Seraph_Shield.png,https://swordburst2.fandom.com/wiki/Ars_Seraph_Shield,Gift of Life,,,12750,,TRUE,,+4%,+4%,30-35,,clean_legendaries,Gift of Life,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
44,Artic Reaper,Longsword,Limited Frozen Wonders Collection,Legendary,300,https://swordburst2.fandom.com/Special:Redirect/file/Artic_Reaper.webp,https://swordburst2.fandom.com/wiki/Artic_Reaper,Helmfirth Exclusive Shop,12215,24430,,,TRUE,25%,+21%,+21%,7-10,7-10,clean_legendaries,Fourteenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
45,Artic Reptide,Longsword,,Legendary,435,https://swordburst2.fandom.com/Special:Redirect/file/Artic_Reptide.png,https://swordburst2.fandom.com/wiki/Artic_Reptide,Leviathan,34970,69940,,,TRUE,15%,30%,30%,1,0.5,clean_legendaries,- Rotational Floors -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
46,Ascendant Insignia,Accessory,Angelic Theme <small>(/Shield)</small,Tribute,425,https://swordburst2.fandom.com/Special:Redirect/file/Ascendant_Insignia.webp,https://swordburst2.fandom.com/wiki/Ascendant_Insignia,Helmfirth Exclusive Shop,,,160000,,TRUE,,+45%,+45%,500+,,tributes,Fifteenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
47,Ashfall,Scythe,Ash's Tribute <small>()</small,Tribute,125,https://swordburst2.fandom.com/Special:Redirect/file/Ashfall.png,https://swordburst2.fandom.com/wiki/Ashfall,Entoloma Gloomlands,2500,5000,,,TRUE,36%,6%,3%,10-14,7-8,tributes,Floor 7,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
48,Aristera,Longsword,Limited,Uncommon,150,https://swordburst2.fandom.com/Special:Redirect/file/Aristera.png,https://swordburst2.fandom.com/wiki/Aristera,Gift of Mimics,2400,,,,TRUE,12%,+3%,,,100-150,misc,Gift Items,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
49,Artist's Glory,Spear,Drawing Event,Legendary,1,https://swordburst2.fandom.com/Special:Redirect/file/ArtistGloryIconReal.png,https://swordburst2.fandom.com/wiki/Artist's_Glory,Win a Drawing Event,500,,,,TRUE,10%,10%,10%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
50,Armageddon,Spear,Limited Merchant,Legendary,360,https://swordburst2.fandom.com/Special:Redirect/file/Armageddon.png,https://swordburst2.fandom.com/wiki/Armageddon,Helmfirth Exclusive Shop,19720,39440,,,TRUE,25%,+20%,+20%,15,,clean_legendaries,Seventh Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
51,Ashrune Shield,Accessory,Shield,Rare,80,https://swordburst2.fandom.com/Special:Redirect/file/Ashrune_Shield.png,https://swordburst2.fandom.com/wiki/Ashrune_Shield,Undead Berserker,,,1350,,TRUE,,+2%,-1%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
52,Aspiration,Katana,,Uncommon,70,https://swordburst2.fandom.com/Special:Redirect/file/Aspiration.png,https://swordburst2.fandom.com/wiki/Aspiration,Sky Raven,715,1001,,,TRUE,15%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
53,Astral Abyss,Scythe,,Tribute,1,https://swordburst2.fandom.com/Special:Redirect/file/Astral_Abyss.png,https://swordburst2.fandom.com/wiki/Astral_Abyss,Awarded to Testers,5000,5000,,,TRUE,10%,10%,10%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
54,Arcana Robe,Armor,,Rare,65,https://swordburst2.fandom.com/Special:Redirect/file/Arcana_Robe.png,https://swordburst2.fandom.com/wiki/Arcana_Robe,Smashroom the Mushroom Behemoth,,,4834,6767,TRUE,,+5%,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
55,Ashrune Blade,Katana,,Uncommon,78,https://swordburst2.fandom.com/Special:Redirect/file/Ashrune_Blade.png,https://swordburst2.fandom.com/wiki/Ashrune_Blade,*Lingerer *Enraged Lingerer,864,1209,,,TRUE,15%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
56,Astra Guidant,Accessory,Shield,Rare,250,https://swordburst2.fandom.com/Special:Redirect/file/Astra_Guidant.png,https://swordburst2.fandom.com/wiki/Astra_Guidant,Newborn Abomination,,,22167,,TRUE,,+3%,+4%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
57,Astral Crescent,Scythe,Limited HSR,Tribute,400,https://swordburst2.fandom.com/Special:Redirect/file/Astral_Crescent.png,https://swordburst2.fandom.com/wiki/Astral_Crescent,Helmfirth Exclusive Shop,30000,60000,,,TRUE,40%,+50%,+50%,5-6,5-6,tributes,Tenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
58,Astral Scholar's,Armor,,Legendary,130,https://swordburst2.fandom.com/Special:Redirect/file/Astral_Scholar's.png,https://swordburst2.fandom.com/wiki/Astral_Scholar's,"Za, the Eldest",,,13920,19488,TRUE,,+5%,+5%,1,1,clean_legendaries,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
59,Astronomic Syzygy,Spear,Limited Light Dark Sword <small>()</small,Legendary,375,https://swordburst2.fandom.com/Special:Redirect/file/Astronomic_Syzygy.png,https://swordburst2.fandom.com/wiki/Astronomic_Syzygy,Helmfirth Exclusive Shop,24500,49000,,,TRUE,18%,+20%,+30%,30+,20+,clean_legendaries,Thirteenth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
60,Atlantis's Pride,Greatsword,Limited Merchant (Limited Axe,Legendary,200,https://swordburst2.fandom.com/Special:Redirect/file/Atlantis's_Pride.png,https://swordburst2.fandom.com/wiki/Atlantis's_Pride,*Helmfirth Exclusive Shop,4000,8000,,,TRUE,18%,+6%,+6%,15-20,15-20,clean_legendaries,Second Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
61,Astral Annihilator,Longsword,Limited Merchant <small>()</small,Legendary,150,https://swordburst2.fandom.com/Special:Redirect/file/Astral_Annihilator.png,https://swordburst2.fandom.com/wiki/Astral_Annihilator,*Arcadia Exclusive Shop *Helmfirth Exclusive Shop,2250,4500,,,TRUE,12%,+5%,+5%,1,0.5,clean_legendaries,First Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
62,Aurelite Vanguard,Armor,,Rare,415,https://swordburst2.fandom.com/Special:Redirect/file/Aurelite_Vanguard.png,https://swordburst2.fandom.com/wiki/Aurelite_Vanguard,Shark,,,417015,583821,TRUE,,+27%,+27%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
63,Aurum Claw,Scythe,,Uncommon,48,https://swordburst2.fandom.com/Special:Redirect/file/Aurum_Claw_Icon.png,https://swordburst2.fandom.com/wiki/Aurum_Claw,Desert Vulture,389,544,,,TRUE,18%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
64,Aurora Pyreblade,Rapier,Limited,Legendary,290,https://swordburst2.fandom.com/Special:Redirect/file/Aurora_Pyreblade.png,https://swordburst2.fandom.com/wiki/Aurora_Pyreblade,"Vyroth, The Frostflame",22750,,,,TRUE,11%,9%,9%,1-2,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
65,Atomizer,Greatsword,Limited,Legendary,225,https://swordburst2.fandom.com/Special:Redirect/file/Atomizer.png,https://swordburst2.fandom.com/wiki/Atomizer,"Kloff, Marauder of the Frost",9503,,,,TRUE,18%,+10%,+10%,0.5 - 1,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
66,Autumn Bulk,Katana,,Rare,24,https://swordburst2.fandom.com/Special:Redirect/file/Autumn_Bulk.png,https://swordburst2.fandom.com/wiki/Autumn_Bulk,Redthorn Tortoise,145,232,,,TRUE,15%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
67,Autumn Fright,Greatsword,,Legendary,225,https://swordburst2.fandom.com/Special:Redirect/file/Autumn_Fright.png,https://swordburst2.fandom.com/wiki/Autumn_Fright,*Pumpkin Reaper *The Cucurbita,4569,9138,,,TRUE,18%,+17%,,10,5-7,clean_legendaries,30-40 Prismatic Apex 2 Floria's Gift,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
68,Augustus,Spear,,Legendary,285,https://swordburst2.fandom.com/Special:Redirect/file/Augustus.png,https://swordburst2.fandom.com/wiki/Augustus,Suspended Unborn,9763,19526,,,TRUE,21%,+18%,+18%,0.5,0.5,clean_legendaries,Floor 12,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
69,Aurora's Reach,Spear,Limited,Uncommon,250,https://swordburst2.fandom.com/Special:Redirect/file/Aurora's_Reach.png,https://swordburst2.fandom.com/wiki/Aurora's_Reach,Rekindled Unborn,9500,13300,,,TRUE,20%,+18%,+18%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
70,Azure Tide,Rapier,,Legendary,,https://swordburst2.fandom.com/Special:Redirect/file/AzureTide.webp,https://swordburst2.fandom.com/wiki/Azure_Tide,"Aeganatos, The Sunken Sovereign",34970,69940,,,TRUE,14%,+25%,+25%,1,1,clean_legendaries,- Rotational Floors -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
71,Azure Chillbreaker,Greatsword,Limited,Legendary,200,https://swordburst2.fandom.com/Special:Redirect/file/Azure_Chillbreaker.png,https://swordburst2.fandom.com/wiki/Azure_Chillbreaker,Ghost of the Present,7750,,,,TRUE,12%,+8%,+8%,1,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
72,Azured Bastion Shield,Accessory,Shield,Legendary,150,https://swordburst2.fandom.com/Special:Redirect/file/Azured_Bastion_Shield.png,https://swordburst2.fandom.com/wiki/Azured_Bastion_Shield,Duality Reaper,,,8500,,TRUE,,+4%,+4%,1-2,,clean_legendaries,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
73,Azureveil Strikeblade,Longsword,,Legendary,175,https://swordburst2.fandom.com/Special:Redirect/file/Azureveil_Strikeblade.png,https://swordburst2.fandom.com/wiki/Azureveil_Strikeblade,"Za, the Eldest",2879,,,,FALSE,12%,+3%,+8%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
74,Azure Starlight,Katana,Vieny's [[Tributes|Tribute]] <small>()</small,Tribute,175,https://swordburst2.fandom.com/Special:Redirect/file/Azure_Star.png,https://swordburst2.fandom.com/wiki/Azure_Starlight,Blooming Plateau,3500,7000,,,TRUE,45%,1%,2%,5,4,tributes,Floor 8,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
75,Azure Fang,Longsword,Limited,Legendary,100,https://swordburst2.fandom.com/Special:Redirect/file/Azure_Fang.png,https://swordburst2.fandom.com/wiki/Azure_Fang,Ghost of the Present,2700,,,,TRUE,15%,+16%,+11%,1,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
76,Balanced Regen Necklace,Accessory,Necklace,Uncommon,62,https://swordburst2.fandom.com/Special:Redirect/file/Balanced_Regen_Necklace.png,https://swordburst2.fandom.com/wiki/Balanced_Regen_Necklace,Frogazoid,,,250,,TRUE,,+8%,+8%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
77,Azure Strike,Spear,,Legendary,150,https://swordburst2.fandom.com/Special:Redirect/file/Azure_Strike_In-game_Icon.png,https://swordburst2.fandom.com/wiki/Azure_Strike,"Ra, the Enlightener",2168,4336,,,TRUE,21%,+5%,+4%,1,1,clean_legendaries,Floor 11,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
78,Azurite Apparation,Longsword,small>(Axe)</small,Rare,100,https://swordburst2.fandom.com/Special:Redirect/file/Azurite_Apparation.png,https://swordburst2.fandom.com/wiki/Azurite_Apparation,Cursed Giant,2400,,,,TRUE,12%,2%,11%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
79,Azurite Longsword,Longsword,,Rare,65,https://swordburst2.fandom.com/Special:Redirect/file/Azurite_Longsword.png,https://swordburst2.fandom.com/wiki/Azurite_Longsword,Smashroom the Mushroom Behemoth,652,1043,,,TRUE,12%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
80,Banananana,Longsword,,Tribute,320,https://swordburst2.fandom.com/Special:Redirect/file/Banananana.png,https://swordburst2.fandom.com/wiki/Banananana,Gorilla Berserker,Level Based +100 per level,,,,FALSE,40%,+28%,+30%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
81,Bat Wing,Rapier,,Legendary,200,https://swordburst2.fandom.com/Special:Redirect/file/Bat_Wing.png,https://swordburst2.fandom.com/wiki/Bat_Wing,"*Count Dracula, Vlad Tepes(formerly) *Terror Incarnate",7324,,,,TRUE,11%,8%,5%,1,1-2,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
82,Berserker Armor,Armor,Category,Common,21,https://swordburst2.fandom.com/Special:Redirect/file/Berserker_Armor.png,https://swordburst2.fandom.com/wiki/Berserker_Armor,Intermediate Shop,,,339,474,TRUE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
